,input,output
1243," Ihr Profil
Sie sind eine junge, <SoftSkill_C>dynamisch</SoftSkill_C>, <SoftSkill_C>positiv</SoftSkill_C>
<SoftSkill_C>eingestellte</SoftSkill_C> und <SoftSkill>erfolgsorientierte Verkaufspersönlichkeit</SoftSkill>
mit einer <SoftSkill_C>flexiblen</SoftSkill_C>,
<SoftSkill_C>selbstständigen</SoftSkill_C> und <SoftSkill>disziplinierten Arbeitsweise</SoftSkill>. ->"," Ihr Profil
Sie sind eine junge, <SoftSkill>dynamisch eingestellte Verkaufspersönlichkeit</SoftSkill>, <SoftSkill>positiv eingestellte Verkaufspersönlichkeit</SoftSkill>
<SoftSkill>eingestellte Verkaufspersönlichkeit</SoftSkill> und <SoftSkill>erfolgsorientierte Verkaufspersönlichkeit</SoftSkill>
mit einer <SoftSkill>flexiblen Arbeitsweise</SoftSkill>,
<SoftSkill>selbstständigen Arbeitsweise</SoftSkill> und <SoftSkill>disziplinierten Arbeitsweise</SoftSkill>."
1244," Du <SoftSkill>drückst dich wertschätzend</SoftSkill> und <SoftSkill_C>konstruktiv</SoftSkill_C> auf Deutsch, idealerweise auch auf Französisch und Englisch aus. ->"," Du <SoftSkill>drückst dich wertschätzend</SoftSkill> und <SoftSkill>drückst dich konstruktiv</SoftSkill> auf Deutsch, idealerweise auch auf Französisch und Englisch aus."
1245," <SoftSkill>Auf unbekanntem Terrain gelingt es Ihnen zu überzeugen</SoftSkill>, <SoftSkill>auftauchende Unsicherheiten aufzufangen</SoftSkill> und zu <SoftSkill_C>motivieren</SoftSkill_C>. ->"," <SoftSkill>Auf unbekanntem Terrain gelingt es Ihnen zu überzeugen</SoftSkill>, <SoftSkill>auftauchende Unsicherheiten aufzufangen</SoftSkill> und <SoftSkill>motivieren</SoftSkill>."
1246," <SoftSkill_C>Selbstständiges</SoftSkill_C> und <SoftSkill>gewissenhaftes Arbeiten</SoftSkill>
<SoftSkill_C>Team-</SoftSkill_C> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Offenheit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Kreativität</SoftSkill>
<SoftSkill>Kundenorientierung</SoftSkill> und <SoftSkill>souveränes Auftreten</SoftSkill ->"," <SoftSkill>Selbstständiges Arbeiten</SoftSkill> und <SoftSkill>gewissenhaftes Arbeiten</SoftSkill>
<SoftSkill>Teamfähigkeit</SoftSkill> und <SoftSkill>Kommunikationsfähigkeit</SoftSkill>
<SoftSkill>Offenheit</SoftSkill>, <SoftSkill>Flexibilität</SoftSkill>, <SoftSkill>Kreativität</SoftSkill>
<SoftSkill>Kundenorientierung</SoftSkill> und <SoftSkill>souveränes Auftreten</SoftSkill>"
1247," Ihr Profil
In erster Linie sollten Sie <SoftSkill>Spass am Kochen</SoftSkill> und am <SoftSkill_C>Umgang mit Lebensmitteln</SoftSkill_C> haben. ->", Ihr Profil In erster Linie sollten Sie <SoftSkill>Spass am Kochen</SoftSkill> und <SoftSkill>Spass am Umgang mit Lebensmitteln</SoftSkill> haben.
1248," Sie kennen sich aus im Account Management, sind sich gewohnt <SoftSkill_C>strukturiert</SoftSkill_C> und <SoftSkill>zielgerichtet zu arbeiten</SoftSkill>, dann sind Sie hier richtig. ->"," Sie kennen sich aus im Account Management, sind sich gewohnt <SoftSkill>strukturiert zu arbeiten</SoftSkill> und <SoftSkill>zielgerichtet zu arbeiten</SoftSkill>, dann sind Sie hier richtig."
1249, Mit Ihrer <SoftSkill_C>fröhlichen</SoftSkill_C> und <SoftSkill>natürlichen Art</SoftSkill> <SoftSkill>bringen Sie Freude in Ihre Umgebung</SoftSkill>. ->, Mit Ihrer <SoftSkill>fröhlichen Art</SoftSkill> und <SoftSkill>natürlichen Art</SoftSkill> <SoftSkill>bringen Sie Freude in Ihre Umgebung</SoftSkill>.
1250, •  <SoftSkill_C>Interesse</SoftSkill_C> und <SoftSkill>Offenheit im Kontakt mit Menschen</SoftSkill ->, <SoftSkill>Interesse im Kontakt mit Menschen</SoftSkill> und <SoftSkill>Offenheit im Kontakt mit Menschen</SoftSkill>
1251," B
<SoftSkill_C>Bereitschaft</SoftSkill_C> und <SoftSkill>Flexibilität zur Schichtarbeit</SoftSkill> (04:30 - 23:00) inkl. Sa / So und gelegentliche Nachteinsätze sowie Pikettdienst
<SoftSkill>Hohes Verantwortungsbewusstsein</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill ->"," B
<SoftSkill>Bereitschaft zur Schichtarbeit</SoftSkill> und <SoftSkill>Flexibilität zur Schichtarbeit</SoftSkill> (04:30 - 23:00) inkl. Sa / So und gelegentliche Nachteinsätze sowie Pikettdienst
<SoftSkill>Hohes Verantwortungsbewusstsein</SoftSkill> und <SoftSkill>selbständiges Arbeiten</SoftSkill>"
1252, Sie <SoftSkill_C>wertschätzen</SoftSkill_C> und <SoftSkill>respektieren die Erfahrung der Betroffenen und deren Angehörigen</SoftSkill>. ->, Sie <SoftSkill>wertschätzen die Erfahrung der Betroffenen und deren Angehörigen</SoftSkill> und <SoftSkill>respektieren die Erfahrung der Betroffenen und deren Angehörigen</SoftSkill>.
1253, <SoftSkill>Arbeitest du gerne exakt</SoftSkill> und <SoftSkill_C>sorgfältig</SoftSkill_C>? ->, <SoftSkill>Arbeitest du gerne exakt</SoftSkill> und <SoftSkill>arbeitest du gerne sorgfältig</SoftSkill>?
1254, Als Oberflächenbeschichter/in <SoftSkill>arbeitest du selbstständig</SoftSkill> oder <SoftSkill_C>im Team</SoftSkill_C> und zeichnest dich durch deine <SoftSkill>Zuverlässigkeit</SoftSkill> aus. ->, Als Oberflächenbeschichter/in <SoftSkill>arbeitest du selbstständig</SoftSkill> oder <SoftSkill>arbeitest du im Team</SoftSkill> und zeichnest dich durch deine <SoftSkill>Zuverlässigkeit</SoftSkill> aus.
1255," die <SoftSkill>Fähigkeit, technische Pläne zu lesen</SoftSkill> und <SoftSkill_C>selbstständig Bauteile herzustellen</SoftSkill_C>? ->"," die <SoftSkill>Fähigkeit, technische Pläne zu lesen</SoftSkill> und <SoftSkill>Fähigkeit, selbstständig Bauteile herzustellen</SoftSkill>?"
1256," Sie sind <SoftSkill_C>selbstständiges</SoftSkill_C> und <SoftSkill>zuverlässiges Arbeiten gewohnt</SoftSkill>, sprechen Schweizer Dialekt und <SoftSkill>behalten auch in hektischen Situationen den Überblick</SoftSkill>. ->"," Sie sind <SoftSkill>selbstständiges Arbeiten gewohnt</SoftSkill> und <SoftSkill>zuverlässiges Arbeiten gewohnt</SoftSkill>, sprechen Schweizer Dialekt und <SoftSkill>behalten auch in hektischen Situationen den Überblick</SoftSkill>."
1257," •  Noteneingaben
Anforderungen:
Kaufmännische Ausbildung, sehr gute MS-Office-Kenntnisse, <SoftSkill_C>selbständiger</SoftSkill_C> und <SoftSkill>exakter Arbeitsstil</SoftSkill>. ->"," • Noteneingaben
Anforderungen:
Kaufmännische Ausbildung, sehr gute MS-Office-Kenntnisse, <SoftSkill>selbständiger Arbeitsstil</SoftSkill> und <SoftSkill>exakter Arbeitsstil</SoftSkill>."
1258, Detailhandelsfachleute haben ein <SoftSkill>kreatives Flair</SoftSkill> und <SoftSkill>verpacken Geschenkartikel geschickt</SoftSkill> und <SoftSkill_C>fantasievoll</SoftSkill_C>. ->, Detailhandelsfachleute haben ein <SoftSkill>kreatives Flair</SoftSkill> und <SoftSkill>verpacken Geschenkartikel geschickt</SoftSkill> und <SoftSkill>verpacken Geschenkartikel fantasievoll</SoftSkill>.
1259, <SoftSkill>Freude am Umgang mit Kundschaft</SoftSkill> und an <SoftSkill_C>Teamarbeit</SoftSkill_C> sind unerlässlich. ->, <SoftSkill>Freude am Umgang mit Kundschaft</SoftSkill> und <SoftSkill>Freude am Umgang mit Teamarbeit</SoftSkill> sind unerlässlich.
1260, Zudem sind Sie <SoftSkill_C>lern-</SoftSkill_C> und <SoftSkill>wissbegierig</SoftSkill> und <SoftSkill>treten neue Aufgaben selbstständig und verantwortungsbewusst an</SoftSkill ->, Zudem sind Sie <SoftSkill>lernbegierig</SoftSkill> und <SoftSkill>wissbegierig</SoftSkill> und <SoftSkill>treten neue Aufgaben selbstständig und verantwortungsbewusst an</SoftSkill>
1261, Ihren Arbeitsalltag können Sie sich <SoftSkill_C>selbstständig</SoftSkill_C> und  <SoftSkill>exibel einrichten</SoftSkill>. ->, Ihren Arbeitsalltag können Sie sich <SoftSkill>selbstständig einrichten</SoftSkill> und <SoftSkill>exibel einrichten</SoftSkill>.
1262, •  <SoftSkill>Hohe Sales-Affinität</SoftSkill> verbunden mit <SoftSkill_C>ausgeprägter Kunden-</SoftSkill_C> und <SoftSkill>Serviceorientierung</SoftSkill ->, • <SoftSkill>Hohe Sales-Affinität</SoftSkill> verbunden mit <SoftSkill>ausgeprägter Kundenorientierung</SoftSkill> und <SoftSkill>Serviceorientierung</SoftSkill>
1263, •  <SoftSkill_C>Überzeugender</SoftSkill_C> und <SoftSkill>gewinnender Auftritt nach innen und aussen</SoftSkill ->, <SoftSkill>Überzeugender Auftritt nach innen und aussen</SoftSkill> und <SoftSkill>gewinnender Auftritt nach innen und aussen</SoftSkill>
1264," Sie verfügen über <SoftSkill>ausgeprägte Stärken in den Bereichen</SoftSkill> <SoftSkill>analytisches Denken</SoftSkill>, <SoftSkill_C>Planung</SoftSkill_C> und <SoftSkill_C>Organisation</SoftSkill_C> sowie <SoftSkill>Kommunikation</SoftSkill>. ->"," Sie verfügen über <SoftSkill>ausgeprägte Stärken in den Bereichen</SoftSkill> <SoftSkill>analytisches Denken</SoftSkill>, <SoftSkill>Planung</SoftSkill> und <SoftSkill>Organisation</SoftSkill> sowie <SoftSkill>Kommunikation</SoftSkill>."
1265," Abgeschlossene Ausbildung als MPA oder Arztsekretär/in
<SoftSkill>Freude am Umgang mit Patientinnen und Patienten</SoftSkill>
<SoftSkill>Schnelle Auffassungsgabe</SoftSkill>
<SoftSkill_C>Selbständige</SoftSkill_C>, <SoftSkill_C>speditive</SoftSkill_C> und <SoftSkill>exakte Arbeitsweise</SoftSkill>
<SoftSkill_C>Freundliche</SoftSkill_C> und <SoftSkill>hilfsbereite Persönlichkeit</SoftSkill ->"," Abgeschlossene Ausbildung als MPA oder Arztsekretär/in
<SoftSkill>Freude am Umgang mit Patientinnen und Patienten</SoftSkill>
<SoftSkill>Schnelle Auffassungsgabe</SoftSkill>
<SoftSkill>Selbständige Arbeitsweise</SoftSkill>, <SoftSkill>speditive Arbeitsweise</SoftSkill> und <SoftSkill>exakte Arbeitsweise</SoftSkill>
<SoftSkill>Freundliche Persönlichkeit</SoftSkill> und <SoftSkill>hilfsbereite Persönlichkeit</SoftSkill>"
1266, Wir bieten einer <SoftSkill_C>selbstständigen</SoftSkill_C> und <SoftSkill>verantwortungsbewussten Persönlichkeit</SoftSkill> eine vielseitige sowie abwechslungsreiche Tätigkeit. ->, Wir bieten einer <SoftSkill>selbstständigen Persönlichkeit</SoftSkill> und <SoftSkill>verantwortungsbewussten Persönlichkeit</SoftSkill> eine vielseitige sowie abwechslungsreiche Tätigkeit.
1267," Sie sind <SoftSkill_C>ausgesprochen dienstleistungs-</SoftSkill_C> und <SoftSkill>verkaufsorientiert</SoftSkill>, <SoftSkill>arbeiten gerne selbstständig</SoftSkill> und bringen <SoftSkill>hohe Belastbarkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill> mit. ->"," Sie sind <SoftSkill>ausgesprochen dienstleistungsorientiert</SoftSkill> und <SoftSkill>verkaufsorientiert</SoftSkill>, <SoftSkill>arbeiten gerne selbstständig</SoftSkill> und bringen <SoftSkill>hohe Belastbarkeit</SoftSkill>, <SoftSkill>Verantwortungsbewusstsein</SoftSkill> und <SoftSkill>Flexibilität</SoftSkill> mit."
1268," •  <SoftSkill>Ausgeprägtes unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>, <SoftSkill>Begeisterungsfähigkeit</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> und die <SoftSkill>Fähigkeit, dein Team und unsere Kunden zu inspirieren</SoftSkill ->"," • <SoftSkill>Ausgeprägtes unternehmerisches Denken</SoftSkill> und <SoftSkill>Ausgeprägtes unternehmerisches Handeln</SoftSkill>, <SoftSkill>Begeisterungsfähigkeit</SoftSkill>, <SoftSkill>Eigeninitiative</SoftSkill> und die <SoftSkill>Fähigkeit, dein Team und unsere Kunden zu inspirieren</SoftSkill>"
1269," <SoftSkill>Unsere Kunden bedienen Sie freundlich</SoftSkill>, <SoftSkill_C>kompetent</SoftSkill_C>, <SoftSkill_C>dienstleistungsorientiert</SoftSkill_C> und sind <SoftSkill>bereit, sich fachlich weiter zu bilden</SoftSkill>. ->"," <SoftSkill>Unsere Kunden bedienen Sie freundlich</SoftSkill>, <SoftSkill>unsere Kunden bedienen Sie kompetent</SoftSkill>, <SoftSkill>unsere Kunden bedienen Sie dienstleistungsorientiert</SoftSkill> und sind <SoftSkill>bereit, sich fachlich weiter zu bilden</SoftSkill>."
1270," abgeschlossene Sekundarschule
Lehrzeit: 4 Jahre
<SoftSkill>Freude am Zeichnen</SoftSkill>/<SoftSkill_C>Konstruieren am CAD</SoftSkill_C>
<SoftSkill>gutes dreidimensionales Vorstellungsvermögen</SoftSkill ->"," abschließende Sekundarschule
Lehrzeit: 4 Jahre
<SoftSkill>Freude am Zeichnen</SoftSkill>/<SoftSkill>Freude am Konstruieren am CAD</SoftSkill>
<SoftSkill>gutes dreidimensionales Vorstellungsvermögen</SoftSkill>"
1271," Sie sind es <SoftSkill>gewohnt, qualitäts- und kostenbewusst</SoftSkill> zu <SoftSkill_C>denken</SoftSkill_C> und zu <SoftSkill_C>handeln</SoftSkill_C>, haben <SoftSkill>organisatorisches Flair</SoftSkill>, sind <SoftSkill>belastbar</SoftSkill> und <SoftSkill_C>handeln</SoftSkill_C> zum Wohle unserer Patienten. ->"," Sie sind es <SoftSkill>gewohnt, qualitäts- und kostenbewusst</SoftSkill> zu <SoftSkill>denken</SoftSkill> und <SoftSkill>handeln</SoftSkill>, haben <SoftSkill>organisatorisches Flair</SoftSkill>, sind <SoftSkill>belastbar</SoftSkill> und <SoftSkill>handeln</SoftSkill> zum Wohle unserer Patienten."
1272," <SoftSkill>Arbeiten Sie gerne im Team</SoftSkill>, sind Sie <SoftSkill>gut organisiert</SoftSkill> und eine <SoftSkill_C>flexible</SoftSkill_C> sowie <SoftSkill>kommunikative Persönlichkeit</SoftSkill>? ->"," <SoftSkill>Arbeiten Sie gerne im Team</SoftSkill>, sind Sie <SoftSkill>gut organisiert</SoftSkill> und eine <SoftSkill>flexible Persönlichkeit</SoftSkill> sowie <SoftSkill>kommunikative Persönlichkeit</SoftSkill>?"
1273," Deshalb sind eine <SoftSkill_C>gepflegte</SoftSkill_C>, <SoftSkill>saubere Erscheinung</SoftSkill> und <SoftSkill>gute Umgangsformen</SoftSkill> sehr wichtig. ->"," Deshalb sind eine <SoftSkill>gepflegte Erscheinung</SoftSkill>, <SoftSkill>saubere Erscheinung</SoftSkill> und <SoftSkill>gute Umgangsformen</SoftSkill> sehr wichtig."
1274," Sie sind ein <SoftSkill_C>standfester</SoftSkill_C>, <SoftSkill_C>führungsstarker</SoftSkill_C> und <SoftSkill>motivierender Mensch</SoftSkill>, dem es <SoftSkill>leichtfällt, andere für ein gemeinsames Ziel zu gewinnen</SoftSkill>. ->"," Sie sind ein <SoftSkill>standfester Mensch</SoftSkill>, <SoftSkill>führungsstarker Mensch</SoftSkill> und <SoftSkill>motivierender Mensch</SoftSkill>, dem es <SoftSkill>leichtfällt, andere für ein gemeinsames Ziel zu gewinnen</SoftSkill>."
1275," •  <SoftSkill_C>Ergebnis-</SoftSkill_C> und <SoftSkill>Lösungsorientierte Vorgehensweise</SoftSkill>, <SoftSkill_C>hervorragende Kontakt-</SoftSkill_C> und <SoftSkill>Kommunikationsfähigkeiten</SoftSkill ->"," • <SoftSkill>Ergebnisorientierte Vorgehensweise</SoftSkill> und <SoftSkill>Lösungsorientierte Vorgehensweise</SoftSkill>, <SoftSkill>hervorragende Kontaktfähigkeiten</SoftSkill> und <SoftSkill>Kommunikationsfähigkeiten</SoftSkill>"
1276," <SoftSkill>Gelebte Hands-on Mentalität</SoftSkill>, <SoftSkill_C>extrovertierte</SoftSkill_C> und <SoftSkill>dynamische Persönlichkeit</SoftSkill>, <SoftSkill>schneller Denker</SoftSkill> mit <SoftSkill>hoher Auffassungsgabe</SoftSkill>, sowie <SoftSkill>starker Teamplayer</SoftSkill ->"," <SoftSkill>Gelebte Hands-on Mentalität</SoftSkill>, <SoftSkill>extrovertierte Persönlichkeit</SoftSkill> und <SoftSkill>dynamische Persönlichkeit</SoftSkill>, <SoftSkill>schneller Denker</SoftSkill> mit <SoftSkill>hoher Auffassungsgabe</SoftSkill>, sowie <SoftSkill>starker Teamplayer</SoftSkill>"
1277," Sie überzeugen durch eine <SoftSkill_C>ausgeprägte</SoftSkill_C> und <SoftSkill>konsequente Dienstleistungsorientierung</SoftSkill> sowie eine <SoftSkill_C>äusserst exakte</SoftSkill_C>, <SoftSkill_C>selbstständige</SoftSkill_C> und <SoftSkill>verantwortungsbewusste Arbeitsweise</SoftSkill>. ->"," Sie überzeugen durch eine <SoftSkill>ausgeprägte Dienstleistungsorientierung</SoftSkill> und <SoftSkill>konsequente Dienstleistungsorientierung</SoftSkill> sowie eine <SoftSkill>äusserst exakte Arbeitsweise</SoftSkill>, <SoftSkill>selbstständige Arbeitsweise</SoftSkill> und <SoftSkill>verantwortungsbewusste Arbeitsweise</SoftSkill>."
1278," Sie <SoftSkill>handeln Qualitäts-</SoftSkill> und <SoftSkill_C>Dienstleistungsbewusst</SoftSkill_C>, <SoftSkill>übernehmen Verantwortung für Ihren Arbeitsbereich</SoftSkill>, sprechen Deutsch als Muttersprache und verfügen über gute Englisch-Kenntnisse. ->"," Sie <SoftSkill>handeln Qualitätsbewusst</SoftSkill> und <SoftSkill>handeln Dienstleistungsbewusst</SoftSkill>, <SoftSkill>übernehmen Verantwortung für Ihren Arbeitsbereich</SoftSkill>, sprechen Deutsch als Muttersprache und verfügen über gute Englisch-Kenntnisse."
1279," Ihre Stärken liegen, nebst <SoftSkill>rascher Auffassungsgabe</SoftSkill> und <SoftSkill>Organisationsgeschick</SoftSkill>, in der <SoftSkill_C>exakten</SoftSkill_C> und <SoftSkill>selbstständigen Erledigung der anfallenden Arbeiten</SoftSkill>. ->"," Ihre Stärken liegen, nebst <SoftSkill>rascher Auffassungsgabe</SoftSkill> und <SoftSkill>Organisationsgeschick</SoftSkill>, in der <SoftSkill>exakten Erledigung der anfallenden Arbeiten</SoftSkill> und <SoftSkill>selbstständigen Erledigung der anfallenden Arbeiten</SoftSkill>."
1280, <SoftSkill_C>Ruhiges</SoftSkill_C> und <SoftSkill>kompetentes Handeln</SoftSkill>. ->, <SoftSkill>Ruhiges Handeln</SoftSkill> und <SoftSkill>kompetentes Handeln</SoftSkill>.
1281," Abschluss mittlere Volksschulstufe (Realschule, Sek B, Stammklasse M)
<SoftSkill>Gute manuelle Geschicklichkeit</SoftSkill>
<SoftSkill_C>Genaue</SoftSkill_C> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill>
<SoftSkill>Geduld</SoftSkill> und <SoftSkill>Ausdauer</SoftSkill>
Gute Leistungen in Mathematik und Geometrie ->"," Abschluss mittlere Volksschulstufe (Realschule, Sek B, Stammklasse M)
<SoftSkill>Gute manuelle Geschicklichkeit</SoftSkill>
<SoftSkill>Genaue Arbeitsweise</SoftSkill> und <SoftSkill>sorgfältige Arbeitsweise</SoftSkill>
<SoftSkill>Geduld</SoftSkill> und <SoftSkill>Ausdauer</SoftSkill>
Gute Leistungen in Mathematik und Geometrie"
1282," <SoftSkill_C>Interesse</SoftSkill_C> und <SoftSkill>Freude an Ernährungsfragen</SoftSkill>
Fachgerechte Zubereitung von diätetischen, gesunden und kulinarischen Gerichten
Koordination von Arbeitsabläufen
Ihr Profil ->"," <SoftSkill>Interesse an Ernährungsfragen</SoftSkill> und <SoftSkill>Freude an Ernährungsfragen</SoftSkill>
Fachgerechte Zubereitung von diätetischen, gesunden und kulinarischen Gerichten
Koordination von Arbeitsabläufen</SoftSkill_C>"
1283," Sie sind <SoftSkill_C>psychisch</SoftSkill_C> und <SoftSkill>physisch belastbar</SoftSkill>, <SoftSkill>teamfähig</SoftSkill> und <SoftSkill>in Notfällen kurzfristig für Einsätze verfügbar</SoftSkill>. ->"," Sie sind <SoftSkill>psychisch belastbar</SoftSkill> und <SoftSkill>physisch belastbar</SoftSkill>, <SoftSkill>teamfähig</SoftSkill> und <SoftSkill>in Notfällen kurzfristig für Einsätze verfügbar</SoftSkill>."
1284," Sozialwissenschaftliches oder betriebswirtschaftliches Studium
Informatikkenntnisse (Excel, Power Point, Project und Visio sind ideal)
<SoftSkill>Fachlich-inhaltliches Interesse an politischen Themen</SoftSkill> und <SoftSkill_C>Integrationsförderung</SoftSkill_C>
<SoftSkill_C>Analytisches</SoftSkill_C> und <SoftSkill>konzeptionelles Denken</SoftSkill ->"," Sozialwissenschaftliches oder betriebswirtschaftliches Studium
Informatikkenntnisse (Excel, Power Point, Project und Visio sind ideal)
<SoftSkill>Fachlich-inhaltliches Interesse an politischen Themen</SoftSkill> und <SoftSkill>Integrationsförderung</SoftSkill>
<SoftSkill>Analytisches Denken</SoftSkill> und <SoftSkill>konzeptionelles Denken</SoftSkill>"
1285, Sie bringen Führungserfahrung sowie <SoftSkill_C>ausgeprägte Kommunikations-</SoftSkill_C> und <SoftSkill>Organisationskompetenz</SoftSkill> mit und sind <SoftSkill>dienstleistungs-orientiert</SoftSkill>. ->, Sie bringen Führungserfahrung sowie <SoftSkill>ausgeprägte Kommunikationskompetenz</SoftSkill> und <SoftSkill>Organisationskompetenz</SoftSkill> mit und sind <SoftSkill>dienstleistungsorientiert</SoftSkill>.
1286," <SoftSkill_C>Starke Kunden-Service-</SoftSkill_C> sowie <SoftSkill>Lösungsorientierung</SoftSkill>, <SoftSkill>Fähigkeit unter hohem Druck Aufgaben zu priorisieren und auszuführen</SoftSkill>, sowie <SoftSkill>Flair Ideen weiterzuentwickeln</SoftSkill ->"," <SoftSkill>Starke Kundenorientierung</SoftSkill> sowie <SoftSkill>Lösungsorientierung</SoftSkill>, <SoftSkill>Fähigkeit unter hohem Druck Aufgaben zu priorisieren und auszuführen</SoftSkill>, sowie <SoftSkill>Flair Ideen weiterzuentwickeln</SoftSkill>"
1287," •  Sie <SoftSkill>stehen mit beiden Beinen im Leben</SoftSkill> und Ihre <SoftSkill_C>humorvolle</SoftSkill_C>, <SoftSkill>positive Wesens-art hilft beim lösungsorientierten Arbeiten auf allen Stufen</SoftSkill ->"," • Sie <SoftSkill>stehen mit beiden Beinen im Leben</SoftSkill> und Ihre <SoftSkill>humorvolle Wesensart</SoftSkill>, <SoftSkill>positive Wesens-art hilft beim lösungsorientierten Arbeiten auf allen Stufen</SoftSkill>"
1288, In der Verkaufsadministration unterstützen Sie die Verkaufsfront bei sämtlichen Administrationsaufgaben und haben das <SoftSkill>Flair für Übersicht</SoftSkill> und <SoftSkill_C>Ordnung</SoftSkill_C>. ->, In der Verkaufsadministration unterstützen Sie die Verkaufsfront bei sämtlichen Administrationsaufgaben und haben das <SoftSkill>Flair für Übersicht</SoftSkill> und <SoftSkill>Flair für Ordnung</SoftSkill>.
1289, Sind Sie eine <SoftSkill_C>freundliche</SoftSkill_C> und <SoftSkill>sportbegeisterte Persönlichkeit</SoftSkill>? ->, Sind Sie eine <SoftSkill>freundliche Persönlichkeit</SoftSkill> und <SoftSkill>sportbegeisterte Persönlichkeit</SoftSkill>?
1290," Du hast ein <SoftSkill>gutes Gespür für die Organisation</SoftSkill>, <SoftSkill_C>Koordination</SoftSkill_C>, <SoftSkill_C>Aufgleisung</SoftSkill_C> und <SoftSkill_C>Umsetzung von Themen</SoftSkill_C>. ->"," Du hast ein <SoftSkill>gutes Gespür für die Organisation</SoftSkill>, <SoftSkill>gutes Gespür für die Koordination</SoftSkill>, <SoftSkill>gutes Gespür für die Aufgleisung</SoftSkill> und <SoftSkill>gutes Gespür für die Umsetzung von Themen</SoftSkill>."
1291, Als <SoftSkill>Team-Player</SoftSkill> <SoftSkill>schätzen Sie die selbständige Sachbearbeitung</SoftSkill> und den <SoftSkill_C>direkten Kundenkontakt</SoftSkill_C>. ->, Als <SoftSkill>Team-Player</SoftSkill> <SoftSkill>schätzen Sie die selbständige Sachbearbeitung</SoftSkill> und den <SoftSkill>direkten Kundenkontakt</SoftSkill>.
1292, Können Sie <SoftSkill>schnell Beziehung knüpfen</SoftSkill> und dem <SoftSkill_C>Gegenüber trotzdem Grenzen setzen</SoftSkill_C>? ->, Können Sie <SoftSkill>schnell Beziehung knüpfen</SoftSkill> und dem <SoftSkill>Gegenüber trotzdem Grenzen setzen</SoftSkill>?
1293," •  Die <SoftSkill>Fähigkeit, visuelle Lösungen zu kreieren</SoftSkill>, welche andere <SoftSkill_C>inspirieren</SoftSkill_C> und zum <SoftSkill>Kauf motivieren</SoftSkill ->"," • Die <SoftSkill>Fähigkeit, visuelle Lösungen zu kreieren</SoftSkill>, welche andere <SoftSkill>inspirieren</SoftSkill> und <SoftSkill>kauf motivieren</SoftSkill>."
1294," Sie sind eine <SoftSkill_C>eigenständige</SoftSkill_C>, <SoftSkill_C>leistungsorientierte</SoftSkill_C>
sowie <SoftSkill>selbstbewusste Person</SoftSkill> mit <SoftSkill>unternehmerischem Flair</SoftSkill>. ->"," Sie sind eine <SoftSkill>eigenständige Person</SoftSkill>, <SoftSkill>leistungsorientierte Person</SoftSkill> sowie <SoftSkill>selbstbewusste Person</SoftSkill> mit <SoftSkill>unternehmerischem Flair</SoftSkill>."
1295," Durch Ihre <SoftSkill_C>umgängliche</SoftSkill_C> und <SoftSkill>dienstleistungsorientierte
Persönlichkeit</SoftSkill> sind Sie <SoftSkill>in der Lage
auch in hektischen Situationen den Überblick zu behalten</SoftSkill>
und <SoftSkill>lösungsorientierte Entscheidungen zu treffen</SoftSkill>. ->", Durch Ihre <SoftSkill>umgängliche Persönlichkeit</SoftSkill> und <SoftSkill>dienstleistungsorientierte Persönlichkeit</SoftSkill> sind Sie <SoftSkill>in der Lage auch in hektischen Situationen den Überblick zu behalten</SoftSkill> und <SoftSkill>lösungsorientierte Entscheidungen zu treffen</SoftSkill>.
1296," Sie <SoftSkill>arbeiten lösungs-</SoftSkill> und <SoftSkill_C>zielorientiert</SoftSkill_C>,
sind <SoftSkill>durchsetzungsstark</SoftSkill> und besitzen ein <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill_C>Handeln</SoftSkill_C>. ->"," Sie <SoftSkill>arbeiten lösungsorientiert</SoftSkill> und <SoftSkill>arbeiten zielorientiert</SoftSkill>,
sind <SoftSkill>durchsetzungsstark</SoftSkill> und besitzen ein <SoftSkill>unternehmerisches Denken</SoftSkill> und <SoftSkill>besitzen ein unternehmerisches Handeln</SoftSkill>."
1297, •  <SoftSkill>Hohe Flexibilität</SoftSkill> und <SoftSkill>Durchhaltewille</SoftSkill> gepaart mit <SoftSkill_C>Erfolgs-</SoftSkill_C> und <SoftSkill>Kundenorientierung</SoftSkill ->, • <SoftSkill>Hohe Flexibilität</SoftSkill> und <SoftSkill>Durchhaltewille</SoftSkill> gepaart mit <SoftSkill>Erfolgsorientierung</SoftSkill> und <SoftSkill>Kundenorientierung</SoftSkill>
